RT,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
54.645,2.395,3.167,0,1.714,2.838,0,2.005,0,0,1.481,2.333,0,9.043,9.338,0,0.81,0,0,0,0,0,0,0,0,2.052,0.371,4.405
54.695,0.41,0,0,1.367,0,0,2.262,0,0,0,0,0,7.019,14.743,0.738,0.186,0,0,0,0,0,1.662,1.038,0,0,0.671,0.305
55.588,1.214,0,0.943,2.033,0,0,1.671,0,0,0,0,0,0,46.438,0.59,0,0,1.133,0,0,0,0.09,0,1.576,2.933,0.733,0.229
55.748,0,3.871,1.205,1.295,0.838,0.638,8.2,0,0,0,0,0.114,6.038,6.514,0,0,3.943,0,1.481,0,0,0,0,1.252,0.433,1.8,0
56.506,0,0,0,1.024,0,0.519,3.562,0,0,0,0,0,10.324,23.99,4.267,0,0.895,0,0,0,0,0,0,1.867,1.714,2.571,0
56.704,0,0.714,0,1.352,0.362,0,5.276,0,0,0.762,0,0,6.214,6.352,0,1.938,0,1.714,1.41,0,1.352,0,0.952,0.529,0.448,0.786,0
57.415,0,0.557,0,0,0,0,2.386,0.69,0,0,0.567,0,6.686,9.814,0,0,1.014,0.876,0.652,0,0.752,0,1.176,0,0,0,0
57.47,0.719,3.043,0,0,0.281,1.314,0,0,0,0,0.433,0,2.129,6.676,0.448,0,1.657,0,-0.024,-0.005,0,0,0,0,0.505,0.029,0.21
57.587,0,0,0.981,0.267,0,1.014,4.5,0.524,1.167,0,0.895,0,14.852,35.233,2.486,0.367,0,0.371,0,0,1.081,0,1.105,3.109,1.924,0.986,0
59.226,0,0,0.89,0.476,0,0,4.176,0.605,0,1.524,0.5,0.905,1.352,11.171,1.043,0,0,0,0,0,0.895,0,0,0,1.41,1.876,0.529
59.23,0,0.452,0,0,0,0,6.528,0,0,0.786,0,0,7.048,10.633,0.786,0.519,0,1.71,0,0,0.471,0.329,0,1.695,0.552,1.048,0.376
59.308,0,0,0,0.81,0,0.962,2.781,0,0.733,0,0,0,10.49,17.676,1.543,3.405,0.29,1.595,0,0,0,0,0.405,11.7,10.857,0,0
59.513,1.852,0,0,0,0.79,0,1.519,0,0.243,0,0,0.429,5.557,18.586,0,0,0.543,0,0.376,0,0,0,3.143,3.405,0,0.41,0
60.255,0.876,1.124,0.676,0,0,1.581,10.419,0,0.624,0,0.3,0,1.119,7.6,0,1.529,0,0.8,0,1.51,1.914,0,0,3.138,0,0,0
61.274,1.243,0.157,0,2.376,0,2.024,3.209,2.305,0,0,0,0,4.8,6.138,0,0.705,0,0,0.424,0.252,0,0,0,0,0,0,1.952
62.317,0,0.214,0.29,1.305,0,0,0,1.776,0,0.752,0,0,1.105,7.643,0,0,0,0,0.929,0.21,0,0,3.862,0,0.548,0,0
63.004,0,0,2.062,0,0.229,0,2.776,0,1.352,1.148,0,0,4.324,16.352,1.467,2.895,3.243,1.619,0,0,0,0,0.748,2.176,0.924,3.162,0
63.259,0.462,0,1.695,0,0.457,0,0.367,0,0.51,0.995,0,0,1.243,7.905,0,-0.024,0.738,0,0,0,0,1.143,0,1.548,1.09,2.952,0.762
64.229,0.729,3.195,0,0,0,2.79,0,0,0,0,0,0.648,0,6.305,0,3.648,-0.029,0,0.471,0,0,0,0.352,0.924,0,0,0
64.258,0,0.724,0.186,0,0,0.395,2.481,0,0,0.929,0,0.486,5.624,7.69,1.086,1.924,0.581,2.152,0,0,0,3.033,0,0.662,0.99,0,0
64.926,0,2.424,0.043,0,0,0,0.976,0,0.319,0,0,0,7.133,11.081,1.105,1.929,0,1.39,0,0.543,0,0,0,1.843,0,0,0
65.05,0.667,2.552,0,0,0,0,17.214,0,0.724,0,0,0,46.399,64.971,7.262,2.5,1,0,0,0,0.824,0,0,1.457,4.157,1.481,0
65.066,0,1.105,0,0,0.581,0.51,12.29,1.79,0,0,0.314,0,19.014,37.495,5.062,1.29,2.048,0,0.619,0,0.219,1.048,0,1.214,1.971,3.157,0
65.894,0,0,-0.024,0,0,0.948,1.81,0,1.89,2.862,0,0,9.333,22.971,1.143,2.581,2.014,0.629,0,0,2.9,0,0,3.067,0.548,0.229,0
65.897,0,0,0,-0.029,0,0,3.271,0.2,0,0,0.014,0,3.957,10.481,0.571,0,0,1.124,0,0,0.338,0,0,1.243,3.219,0.757,0
66.15,0,0,0,0,0,4.124,6.371,0,0,0,0,0,9.386,12.528,0,3.771,0,0.071,0,0,0,0,0.786,2.095,1.862,1.262,0
67.026,0,0,0,0,0.376,0.319,4.848,0,0,1.524,0,0,7.486,15.6,0.71,2.257,1.067,0,0.671,0.686,0,0,0,0,0,0,0
67.101,1.019,0,2.705,1,0,0.424,3.486,0,0,1.086,0,1.248,5.105,10.914,0,0,0.886,0,0.252,0,0,0,0,1.352,0,1.567,0
67.915,1.576,2.509,0,0,0,0.3,1.852,0,0,0,0,0,7.138,14.719,1.229,4.462,0,0,0,0,0,0,0,0,2.943,0,0
68.865,0.567,0,0.952,1.314,0,0,0,0,0,0,0,0,14.347,31.895,3.49,0.657,0,0,0.905,0,0.629,0.514,0,0,1.695,1.514,0
68.896,0,0,0,0,0,0,0.457,0,0,3.024,0,0,12.776,18.462,4.129,0,2.586,0,0,0,0,0.862,0,0,0.505,2.776,0.714
68.973,0,2.681,1.895,1.543,0,0,3.652,0,0.476,0,0,0,6.171,11.995,0,0,0,0.271,0,0,0,0,0,1.39,2.362,0.614,0
69.751,0,0,0,0,0,0,12.776,0.819,0,0,0,0.557,15.033,47.333,4.538,2.29,0.819,0,0,1.271,0,0,0,0.762,3.219,6.333,0
69.935,0,1.648,0,0.005,0,0,2.852,1.09,0.4,0,0,0,8.005,12.233,0.805,0,3.714,0,0,0,0,0.771,1.214,0,0,0,0
71.567,0,0,0.662,0,0,0,2.048,0,0.533,0,0,0,10.39,7.743,2.048,0,2.248,1.005,0,0,0,0,0.967,3.529,5.162,0.271,0
71.681,0,2.99,0,0,0,0,12.271,0.848,0,0,0.543,0,6.481,23.609,4.848,1.119,3.048,0.729,0,0,0.671,0,0.848,1.352,14.171,1.362,0
72.749,0,2.709,0,0,0.49,0.833,0,0,0,0.286,0,0,0,6.352,0.814,1.629,1.329,0,0,1.495,0,0,0,0,3.305,1.676,0
72.771,0,1.49,0,1.157,1.305,0,0,1.043,0.371,0.41,0.29,0,1.4,6.105,0.876,0.41,0,1.071,0,0,0.81,1.305,0,0,2.205,0.614,0
73.506,0,1.024,0,0.51,0,0,2.848,1.052,0,2.157,0,2.386,14.338,15.209,2.214,2.329,0,0,0,2.743,0.171,0,0,1.448,1.505,0,0
73.549,0,0,0,0,1.057,0,3.033,0.248,0,0,0,0,12.867,31.128,1.876,3.881,3.009,0,0,0,0,0.971,0,2.39,12.962,1.729,-0.081
73.738,0,0,0.776,1.167,0,4.781,7.371,0.924,0,0,0,0,15.866,17.376,0.867,0,1.314,0,0,0,0,0,0.619,0.914,2.033,0,-0.005
74.572,0,1.267,0,0.719,0,0,12.862,0,0,1.043,0,0,33.823,57.39,3.69,0.29,1.648,0,0,0,1.529,0,0,0.967,5.7,0,2.038
74.585,0,1.314,0.543,0,0,0,4.614,0.805,0,1.676,0.7,0,2.271,10.786,2.667,0,0,0,0,0,1.567,0.49,0,0,1.043,0,0
74.598,1.224,0.829,0.143,0,0,0.419,2.467,0,2.624,0,0,0,2.462,14.409,3.352,1.057,1.829,1.6,0.681,1.157,1.214,0,0,0.829,0,1.61,0
74.615,0,0,0.305,0,1.295,0,6.148,0,0,0,0,0,0,5.786,0,0,0.752,0,1.171,0.352,0,0,0.724,0.614,0,0.414,0
75.285,0,0,1.257,0,2.443,1.448,2.686,0,0.762,0.852,2.776,0,1.205,9.919,0,0,2.495,0,0,0.438,1.6,0,0,0.662,0,1.252,3.505
77.313,0,0,0.667,0,0,0,0,0.224,0,0,0,0,2.843,7.581,0,0,1.89,0,0,1.381,0.214,0,1.038,4.652,1.871,2.881,0
77.351,0,0.952,0,0,0.557,0,0,0,0,0,0.571,0,0,15.89,0,0,0,0,0,0.043,0,0,0,0.452,1.462,0,0.767
79.019,0,0,0,0,0.39,0.29,3.057,0,0,0,0,0,4.576,13.619,0.714,0,0,0.638,0,0,1.443,0,0,7.357,3.771,1.529,0
79.248,2.457,0,-0.005,1.181,0,0,0.824,0,0,1.838,0,0,11.662,8.614,1.062,0,0,0,0,0,0,0,0,1.424,2.9,1.881,0
81.096,0,0,0,0.586,0.648,0,4.814,0,0.424,0,0,0,3.014,8.738,0,0,0,0,0,0,0,0,0,0,1.133,0.124,0
81.132,1.781,0,0,0,0,1.352,1.652,0,0.605,0,0,0,4.029,19.876,3.457,1.376,0.952,0,0.924,0,0.8,1.381,0,1.648,1.79,-0.019,0
83.856,0,1.805,0,0,0,1.729,9.319,1.076,0,0,2.086,0,36.742,39.438,2.567,2.862,6.919,0,2.157,0.786,0.905,0,0,1.41,4.081,1.305,0
85.689,0,0,0.7,0,0,0,2.186,-0.019,1.014,0,-0.01,0,15.762,17.495,3.652,0,0,0,0,0,0,0,0.186,3.671,0,0.462,0
86.525,0,3.219,0,0,0,0,11.195,0,0.138,0,0,0.605,37.209,41.809,5.771,5.138,1.662,0,0,0.405,0,0,0.348,3.043,0.79,-0.01,0
