25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
0,1.714,0.405,0,2.862,1.381,0,0,0,0,0,0,0,775.401,3.781,0,0,0,0.39,0,6.786,0,0,0.638,0.481,0,0
0,2,0.01,0,0,0,0,2.843,0.352,0.733,0,0.752,0,773.953,2.01,0.681,0,1.629,0.852,1.124,0,0,0,0,0,0,1.738
1.471,0,0,0,0,1.114,1.39,0,0,0,0,0,0,263.364,1.057,0,0,0,1.157,0,0,0.848,0.4,0,0,0,0.762
0,0,0.714,0,0,0,0,0,0,0,0.905,1.438,0.795,204.155,0,0.214,1.595,1.386,0,0,0.419,0,0,0.381,2.033,0,0
0,0,0,0,0,0,0,0,0.971,0,0,2.671,0.057,446.552,1.243,0,0,0,0,0.138,0,0,0,2.314,0,0,0.714
0,0,0,0,0,0,0,0.386,0,0,1.414,0,2.071,951.551,2.019,0,0,2.138,0.519,0,0,0,1.338,3.4,0.124,0,1.195
0.5,0,0.605,2.414,0,0.957,0,0,0.314,0.233,0,0,0,340.177,0,0.719,0,0.638,0.5,0,0.543,0,0,2.8,2.457,0,0
0,1.076,0,0,0.043,2.709,0,0,0,0,0.41,0,1.119,1553.311,0.943,0,0,0,0,0.167,0,0.271,0,2.881,2.819,0.376,0.762
0,0.381,0,0,0,0.3,0,0,0,2.429,0,0.557,0.838,3259.472,-0.814,-0.043,-0.019,0.648,0,1.752,2.462,0,0,3.743,2.29,0,0
0,0.133,0,0,1.662,0.338,0,0.695,0,0,0,1.543,0.576,204.688,0,0,1.776,0.386,0,0,1.543,0,0,0.552,0,0,0.829
0,0,0.371,2.848,0,1.419,0,0,0.581,1.671,0.695,0,1.314,1002.508,0.781,0,0,0.09,0.91,0,0.41,0,0,0,2.852,0,0
0,0.395,0.776,0,0,0,0,0,0,0.7,0,1.048,0,736.515,0.714,0,0,0.805,0,0,0,0,1.186,1.043,0.352,0,0
2.029,0,0,0,0.081,0,0,0,0,0,0,0,0,1671.909,-0.024,1.61,0,2.514,0,0,3.319,0.59,0.881,0.29,0.5,0,0
0,1.667,3.952,0,0,0.005,0,0,0.667,0,0,0,0,659.193,3.271,1.3,0,0,0,0.31,0,0,0,0.695,1.39,0,0
0,0,0,2.324,-0.01,0.648,0.876,0,0.524,0,0.286,0,1.976,275.906,1.452,0.181,0,0.29,1.376,0,0,0.852,0.529,0,0,1.59,0
0,0,0,0,0,0.052,0,0,0.214,0,0,0,0,279.364,0.738,0,1.467,0.881,0.41,0,4.052,2.229,0,1.662,0.476,0,0
0,2.786,0.843,0,0,1.129,0,0,0,1.652,3.505,0,0,438.338,0,0,0,0,0,0,0,0,0.395,0,0,2.3,0
0,1.243,0.91,1.262,0,0,0,-0.005,0,0.524,0,0,0.852,196.898,0.619,0,0,0,0,0,0.876,-0.01,0,0,3.614,0,0.548
0,0,0,0,1.081,2.629,0,0,0.667,0,0,1.357,0,624.95,2.295,0,0.876,0.59,0,0,0,0,0,0,0,0,0.9
0.152,1.619,0.052,0.21,1.467,0.195,0,0.09,0.743,0,0,0,0,508.718,0.933,0,0,0.948,0,0,0,0,0,0,0.424,0,2.948
0,0,0,0,0.719,0,0,0,0,0,0,1.152,1.919,219.093,0,0.857,0,1.333,0.871,1.181,0.381,0,0,0.567,0.733,0,0
0,0.629,1.024,0.029,0,1.976,0,0,0,0,0.443,0.314,0,498.875,0.919,3.229,0,0.543,0.871,0,0,0,0,4.433,0.633,1.638,1.824
0,0.7,0,0,1.395,0,0,1.148,1.19,0,0,0,1.7,121.98,0,0,0,0.148,0,0.433,0,0,0,0,0,0.862,0
0,0,0.319,0,0,0,0,0,0.757,0,0,0,4.233,660.069,0.329,0,0,0,0,0.257,0,0,0,0.714,0,0.286,0
0.019,0,0.667,0,1.59,1.381,0.948,0,0,1.529,0,0,0,280.63,1.819,0.671,0.724,0.005,0,0,0,0,0,0,1.395,0,1.248
1.924,0,1.471,0,3.038,0,0,0,1.624,0,0,0,0,672.931,0,0,0,0,0,0.638,0,0.581,0,0,0,1.31,0
0,0,1.571,0,0,1.91,0,0.29,0,0,0,2.062,0,200.445,0,0,2.248,0,0,0.176,0,1.205,0.048,0,0,1.929,0
3.257,0,0,2.381,0.495,0,0,0,0,0,1.148,0.99,2.033,798.677,2.957,1.981,-0.014,0,0,0,4.471,0.676,0,0,0.257,0,0
0,1.638,0,0,0.833,0.676,0.248,0,0,0,0,2.129,0.295,33.638,0.667,0,0,0,0.533,0,0,0,0.3,0.624,0,0,1.005
0,0,0.843,0,0,0,0,0,0.781,1.071,0,1.571,0,236.074,0.329,0.129,0,0,1.257,0.357,0,0,0,0.519,0.6,0,0
0,0,0.3,0,0,0,0.114,0,0,0,0,0,0,319.044,1.633,0,0,0,1.505,0,5.909,0.481,1.214,0.581,0.919,0,0
0.681,0,0,0.881,0,0,0.329,0,0.4,0,0,1.067,0,389.8,0,0.738,0,0,0,0,0,0,0,0,0,0,0.3
